Artist,Classification,Continent,Country,Credit Line,Dated,Department,Dimension,Inscription,Medium,Nationality,Provenance,Rights Type,Room,Short Description,Signed,Style,Text,Title,Years Living
Artist: Narcisse-Virgile Diaz de la Pe?a, Paintings,Europe,France,Gift of Mrs. Margaret Weyerhaeuser Harmon,c. 1870,Paintings,8 7/8 x 13 1/8 in. (22.5 x 33.3 cm),Signature,Oil on canvas,French,N/A,Public Domain,Not on View,N/A,LR: [N. Diaz],19th century,N/A,Wet Pasture,"French, 1807?1876"
Artist: Jules Dupr?, Paintings,Europe,France,Gift of Mrs. Margaret Weyerhaeuser Harmon,c. 1870,Paintings,19 7/8 x 26 1/2 x 4 1/4 in. (50.5 x 67.3 x 10.8 cm),Signature,Oil on canvas,French,N/A,Public Domain,Not on View,dims H 9-5/8 x W 16-1/4',LR: [Jules Dupr?],19th century,N/A,"Village Scene, Sunset","French, 1811?1889"
Artist: Thomas Wilmer Dewing, Paintings,North America,United States,Gift of Mrs. Margaret Weyerhaeuser Harmon,c. 1907,Paintings,"12 x 16 3/8 in. (30.48 x 41.59 cm) (panel)
25 1/4 x 29 1/4 in. (64.14 x 74.3 cm) (framed)",Signature,Oil on panel,American,N/A,Public Domain,Not on View,Genre.,LL: [T.W. Dewing],20th century,N/A,The Gossip,"American, 1851 - 1938"
Artist: Newell Convers Wyeth, Paintings,North America,United States,Gift of the National Biscuit Company,1906,Paintings,"43 5/8 x 30 1/4 in. (110.81 x 76.84 cm) (sight)
44 1/4 x 31 7/8 in. (112.4 x 80.96 cm) (canvas)
56 x 42 3/4 x 2 3/4 in. (142.24 x 108.59 x 6.99 cm) (outer frame)",N/A,Oil on canvas,American,N/A,Public Domain,G301,Genre.,N/A,20th century,"Cream of Wheat: as American as apple pie. That was the message of the innovative ad campaign for which this artwork was made. The Cream of Wheat company hired well-known artists to create paintings showing the breakfast cereal and its box as part of the fabric of American life. N. C. Wyeth, a celebrated American painter and illustrator, was a spirited interpreter of Western frontier life?fitting for someone depicting a product made in Grand Forks, North Dakota. From 1902 to 1926, the company commissioned over four hundred original works of art that appeared in full-page ads in leading magazines such as Ladies? Home Journal and The Saturday Evening Post.","Rural Delivery (Where the Mail Goes, Cream of Wheat Goes)","American, 1882?1945"
Artist: Philip R. Goodwin, Paintings,North America,United States,Gift of the National Biscuit Company,1907,Paintings,36 x 26 in. (91.4 x 66.0 cm),N/A,Oil on canvas,American,N/A,Public Domain,G301,Genre.,LR: Philip R. Goodwin. .1907.,20th century,"The Cream of Wheat company commissioned this work, along with the two N. C. Wyeth paintings in this gallery, to advertise their cereals. Philip R. Goodwin was known for his wildlife paintings, which often show the tension caused by the presence of people in the wilderness: hikers or hunters confront bears, cougars, or wolves even as they enjoy the majestic outdoors and its bounty. Here the human presence is merely implied by the box of Cream of Wheat this grizzly bear is so clearly enjoying.","A ""Bear"" Chance","American, 1882?1935"
Artist: Richard Guindon, Drawings,North America,United States,Gift of Mr. Mike Steele,1955-1970,Prints and Drawings,9 3/16 x 5 3/16 in. (23.34 x 13.18 cm),N/A,Pen and Ink,American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,Rembrandt in the Spotlight,"American, born 1935"
Artist: Jasper Johns, Drawings,North America,United States,The William Hood Dunwoody Fund,1963,Prints and Drawings,"26 3/16 x 21 1/3 in. (66.7 x 53.7 cm) (sheet, trimmed exact to image; irregular)
29 1/2 x 23 3/4 in. (74.9 x 60.3 cm) (canvas mount)
38 1/4 x 33 in. (97.16 x 83.82 cm) (outer frame; 1-1/4 inch black)
28 1/8 x 23 1/8 in. (mat opening); mounted with a c.1"" border between the image and the mat opening)","

see Signed","Graphite wash, charcoal, and chalk on paper, mounted on canvas",American,"William Dorr, New York (by 1965-at least 1966); [Dayton's Gallery 12, Minneapolis, until 1970; sold, for $12,500, to MIA]",Copyright Protected,Not on View,"numeral ""2"" in grey tones","LR, stenciled, in graphite wash: J.J. 63 |  Verso, on backing sheet  (now detached), in black chalk: Figure 2 / J. Johns / 1963  (Cut from the original backing sheet and reattached to the verso of updated frame in a mylar sleeve)",20th century,"In the early 1950s, Jasper Johns made the then radical decision to begin using everyday signs and symbols?flags, targets, letters, alphabets, numbers?as subjects for his paintings and drawings. He chose these familiar and conventional motifs as a way to negate the expressive or psychological qualities of his subject matter, presenting them as formal and conceptual entities designed to elicit contemplation.

Here, the arabic numeral 2 is presented as a tangible object, in effect a portrait of a number. In this context, the subject is neutral, allowing the material surface of the drawing to assert itself. Its ultimate meaning is elusive, but, for Johns, the process of making a drawing and the materials and techniques used are integral. He invites us to experience the familiar in an unfamiliar way.",Figure 2,"American, born 1930"
Photographer: Ansel Adams, Photographs,North America,United States,The Ethel Morrison Van Derlip Fund,c. 1958,Photography and New Media,"7 1/2 x 9 3/8 in. (19.05 x 23.81 cm) (image)
14 x 17 7/8 in. (35.56 x 45.4 cm) (mount)",N/A,Gelatin silver print,American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,"Siesta Lake, Yosemite National Park, California","American, 1902 - 1984"
Artist: Sol LeWitt, Drawings,North America,United States,"The Francisca S. Winston Fund, by exchange",1970,Prints and Drawings,14 x 14 in. (35.56 x 35.56 cm) (sheet),"Signature; Inscription; Date

see Signed
",Pen and color ink on paper,American,"[Dayton's Gallery 12, Minneapolis until 1971]; sold to MIA",Copyright Protected,Not on View,N/A,"Signed, inscribed, dated in black ink, LRC: [4 color drawing / Sol LeWitt / March 8, 1970]
",20th century,N/A,3-8-70 (1),"American, 1928 - 2007"
Artist: Edouard Vuillard, Paintings,Europe,France,Gift of Mike Nichols,c. 1894,Paintings,"12 1/2 x 11 1/4 in. (31.75 x 28.58 cm) (canvas)
18 3/4 x 17 3/4 x 4 in. (47.63 x 45.09 x 10.16 cm) (outer frame)",N/A,Oil on panel,French,N/A,Public Domain,Not on View,N/A,no signature,19th century,N/A,Backstage at the Th??tre de l'Oeuvre,"French, 1868 - 1940"
"Designer: Unidentified designer and cartoonist, probably Aubusson Tapestry Workshop; Weaver: Aubusson Tapestry Workshop", Textiles,Europe,France,Gift of Colonel C. Michael Paul,c. 1782?1800,Textiles,122 3/4 x 213 1/4 in. (311.79 x 541.66 cm) (irregular),N/A,"Wool, silk; tapestry weave",N/A,N/A,Public Domain,Not on View,N/A,N/A,18th-19th century,From the Genteel Amusements series.,Dance in a Park,N/A
Artist: Alexis Jean Fournier, Paintings,North America,United States,Gift of Mrs. Austin B. Caswell,ca. 1913,Paintings,"10 1/4 x 13 15/16 in. (26.04 x 35.4 cm) (canvas)
17 1/2 x 20 3/4 x 1 3/4 in. (44.45 x 52.71 x 4.45 cm) (outer frame)",Signature,Oil on panel,American,N/A,Full Permission,Not on View,Landscape,LR: [ALEX FOURNIER],20th century,N/A,"Chateau Gaillard, Normandy","American, 1865?1948"
N/A, Ceramics,N/A,Italy,The Ethel Morrison Van Derlip Fund,6th-5th century BCE,"Decorative Arts, Textiles and Sculpture",9 1/4 x 13 1/2 x 9 3/4 in. (23.5 x 34.29 x 24.77 cm),N/A,Polychromed terracotta,N/A,N/A,Public Domain,Not on View,"this cinerary urn appears to be made to resemble an Etruscan dwelling, with the lid of the box forming the roof; decorated with red, green, brown and possibly black pigment applied to the surface; four nude males, one draped female and seven tree or plank forms",N/A,6th-5th century BCE,N/A,Cinerary Urn and Lid,N/A
"Artist: Unknown Dutch, 17th century", Paintings,Europe,Netherlands,The Putnam Dana McMillan Fund,c. 1650-1660,Paintings,"53 1/4 x 69 1/2 in. (135.26 x 176.53 cm) (canvas)
61 1/2 x 78 1/2 x 5 3/4 in. (156.21 x 199.39 x 14.61 cm) (outer frame)",N/A,Oil on canvas,N/A,"(Gallery Sanct Lucas, Vienna, Austria, by 1934). Frau Pichler-Short, Vienna. F. E. Short, London, England, by 1949; (Short sale, Sotheby's, London, England, November 2, 1949, lot 147, repr.);[1] Mallett('). Francis Moro, New York, New York. Marion Davies [1897-1961], Los Angeles, California; (Davies sale, Parke-Bernet, New York, New York, November 14-17, 1951, lot 66, repr.).[2] (Bernard Houthakker [1884-1963], Amsterdam, The Netherlands); sold to MIA in 1971.

[1] Photocopy of auction catalogue in curatorial file. The work was sold with a ""certificate"" of Professor A. Gl?ck. 

[2] Photocopy of auction catalogue in curatorial file. ""Marion Davies, Removed from her residence at Beverly Hills, California, sold by her order. Collection of Frau Pichler-Short, Vienna. Collection of F.E. Short, Esq. London, 1949.""",Public Domain,G330,"Genre. Interior of a bedroom with a lady dressed in bright golden yellow silk, a small dog in her lap, seated at a dressing table with toilet articles on it. A maid pinning a bow into her long wavy blonde hair is standing behind her. In the background a canopied bed with gray draperies.",(two differing versions of signature),17th century,N/A,Lady at Her Toilet,N/A
N/A, Furniture,North America,United States,Gift of Mrs. Edwin Dodge Johnston,c. 1770-1790,"Decorative Arts, Textiles and Sculpture",84 1/2 x 42 3/8 in. (214.63 x 107.63 cm),N/A,"Mahogany, white pine, brass hardware",N/A,N/A,Public Domain,Not on View,"American carved Chippendale mahogany chest-on-chest, upper molded swan neck cresting having sunflower terminals and fitted with two carved flaming finilas lain in leaf and center with brass ball and convex shell and flanked by scrolling leafage; the unusual part of this design is that the swan necks extend to the back of the chest; the hardware is replacement as apparently there were knobs instead of handles for pulls
a-top; b- bottom; cde top small drawers; fghijkl- large drawers top to bottom",N/A,18th century,"This chest-on-chest descended in the Dodge family to Edwin Noyes Dodge, whose wife donated it to the Institute.  While the object was made in New England, it came to the Midwest when the Dodge family immigrated to Minnesota in the 19th century.  The style of this chest-on-chest suggests that it was made in New London County, Connecticut, and probably Colchester, as it displays characteristics of 18th-century furniture from that vicinity, including the block-and-shell front; the curled, beaded molding on the feet; the compass carving at the tops of the side pilasters; the rosettes on the broken pediment; and the whorl in the top center drawer.",Chest on Chest,N/A
Photographer: Berenice Abbott, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,"December 23, 1935",Photography and New Media,"7 9/16 x 9 9/16 in. (19.21 x 24.29 cm) (image)
7 15/16 x 9 15/16 in. (20.16 x 25.24 cm) (sheet)","Stamped, verso:  \""Federal Art Project,\"" \""Changing New York,\"" Photographs by Berenice Abbott\""  \""Duplicate\""

Title, Place, Neg. #, Code, Date stamped verso with info written in pencil.",Gelatin silver print,American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,"Ferry, West 23rd Street","American, 1898?1991"
Photographer: Berenice Abbott, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,"February 1, 1938",Photography and New Media,"9 1/2 x 7 5/8 in. (24.13 x 19.37 cm) (image)
9 7/8 x 7 15/16 in. (25.08 x 20.16 cm) (sheet)",N/A,Gelatin silver print,American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,"48th Street, Looking Northwest from a Point Between Second and Third Avenues, Manhattan","American, 1898?1991"
Photographer: Eileen Cowin, Photographs,North America,United States,Kate and Hall J. Peterson Fund,1970,Photography and New Media,"7 1/2 x 7 13/16 in. (19.05 x 19.84 cm) (image)
8 x 8 13/16 in. (20.32 x 22.38 cm) (sheet)",N/A,"Sheet film and electrostatic print, hand colored",American,N/A,Copyright Protected,Not on View,w/ welded aluminum frame,N/A,20th century,N/A,Self-Portrait in Mirror,"American, born 1947"
Photographer: Lewis W. Hine, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,c. 1908,Photography and New Media,"5 x 6 9/16 in. (12.7 x 16.67 cm) (image, sheet)",N/A,Gelatin silver print,American,N/A,Public Domain,Not on View,No.463,N/A,20th century,N/A,"11 Year Old Spinner in a Cotton Mill, North Carolina","American, 1874 - 1940"
Artist: Giorgio Vasari, Paintings,Europe,Italy,The William Hood Dunwoody Fund,1544,Paintings,"52 x 51 5/8 in. (132.08 x 131.13 cm) (canvas)
62 1/8 x 61 5/8 x 4 3/4 in. (157.8 x 156.53 x 12.07 cm) (outer frame)
180  lb. (81.6  kg)",N/A,Oil on panel,Italian (Florence),N/A,Public Domain,Not on View,"Group portrait of six Italian writers and poets: Dante Alighieri, Francesco Petrarch, Guido Cavalcanti, Giovanni Boccaccio, Cino da Pistoia, and Guittone d'Arezzo.",N/A,16th century,N/A,Six Tuscan Poets,"Italian (Florence), 1511 - 1574"
Artist: Maxfield Parrish, Paintings,North America,United States,The Putnam Dana McMillan Fund,1908,Paintings,"70 1/2 x 129 1/8 in. (179.07 x 327.98 cm) (sight)
73 1/2 x 132 1/2 x 2 1/2 in. (186.69 x 336.55 x 6.35 cm) (outer frame)",N/A,Oil on canvas,American,N/A,Public Domain,G334,Landscape.,LLC in brown: Maxfield Parrish 1908.,20th century,"James J. Storrow commissioned this painting for the main hall of his home in Lincoln, Massaschusetts in 1908.",Dream Castle in the Sky,"American, 1870 - 1966"
Artist: Albert Gleizes, Paintings,Europe,France,The William Hood Dunwoody Fund,1913,Paintings,"15 1/2 x 12 1/4in. (39.4 x 31.1cm)
23 1/2 x 20 1/4 x 1 1/2 in. (59.69 x 51.44 x 3.81 cm) (outer frame)",Signature and Date,Oil on canvas,French,"Possibly Herwarth Walden, Berlin, Germany.[1] (Galerie Arnold, Dresden). F. R. Schon, Toronto, Ontario; (Herbert Tannenbaum Galleries, New York, New York). (Eugene V. Thaw & Co., New York, New York by 1971); purchased by MIA in 1971.

[1] Several labels on the reverse of the painting list various owners, including Walden, Schon, and Tannenbaum Galleries. No dates have been associated yet with these collections.


",Copyright Protected,G276,N/A,LR in red: [Albert Gleizes 13],20th century,N/A,The Village,"French, 1881?1953"
Artist: Jules Ch?ret, Drawings,Europe,France,Bruce B. Dayton Fund,c. 1900,Prints and Drawings,40 1/2 x 28 1/2 in. (102.87 x 72.39 cm) (image),N/A,Pastel on linen,French,"Galerie Jean de Ruaz, Paris (sold to Bruce B. Dayton); Bruce. B. Dayton (gift to MIA August 1971)",Public Domain,Not on View,N/A,LL: Ch?ret,19th-20th century,N/A,Woman in a Yellow Dress,"French (Paris, Nice), 1836?1932"
Artist: Conrad Felixm?ller, Drawings,Europe,Germany,"The Herschel V. Jones Fund, by exchange",1919,Prints and Drawings,20 1/8 x 11 3/16 in. (51.12 x 28.42 cm) (sheet),Signature; Date; Title,Graphite on gray paper,German,N/A,Copyright Protected,Not on View,N/A,"[Felixm?ller 1919], in graphite, lower left corner, recto",20th century,"Lovers reflects the height of Expressionist idealism and ecstasy. Here Felixm?ller portrays himself with his wife, Londa von Berg, with whom he had just fathered a son in 1918. Their intense, almost mystical union is symbolized by the merging of their two bodies, their crescent-shaped eyes transfixed on a common goal. Felixm?ller believed that absolute form was created from a synthesis of male and female, a concept that arose from the teachings of the philosopher Friedrich Nietzsche. The overlapping forms and hatched modeling are a carry-over from the formal language of Cubism, a powerful influence on Expressionist compositions.",The Lovers (Liebespaar),"German, 1897?1977"
N/A, Metalwork,Asia,Persia (Iran),The Katherine Kittredge McMillan Memorial Fund,6th century,"Decorative Arts, Textiles and Sculpture",11 in. (27.94 cm),N/A,Bronze,N/A,N/A,Public Domain,Not on View,vessel support; feline shape,N/A,6th century,N/A,Vessel Support,N/A
Artist: Edward Ruscha, Drawings,North America,United States,"The William Hood Dunwoody Fund, by exchange",1970,Prints and Drawings,11 1/2 x 29 1/8 in. (29.21 x 73.98 cm),Signature; Date,Gunpowder and pastel on paper,American,"[Locksley Shea Gallery, Minneapolis]; sold to MIA. 1971.",Non-Commercial Use,Not on View,N/A,LL in pencil: [E. Ruscha 1970],20th century,"Ed Ruscha has always been fascinated with language. Inspired by Jasper Johns's austere numerals and targets, he set out to transform text and cultural icons into high art. In 1967, he began making his ""paper ribbon"" drawings, which characteristically feature isolated words as objects set in three-dimensional space. He portrayed his subjects in a precisely rendered trompe l'oeil manner, relying on various drawing mediums, cotton swabs, and the palm of his hand to draw the subtle tonal gradations needed to establish the highly illusionistic effects he desired. Rushca maintained that he chose words for their appearance, sound, or spelling rather than for their meanings, or referential associations. In 1984, however, the unmistakable reference to George Orwell's futuristic novel stands at odds with the graceful line and elegant form of the ribbon.

",1984,"American, born 1937"
Artist: Fran?ois Jouvenet, Paintings,Europe,France,The Christina N. and Swan J. Turnblad Memorial Fund,1701,Paintings,18 5/8 x 15 1/2 in. (47.3 x 39.4 cm),N/A,Oil on canvas,French,N/A,Public Domain,Not on View,"Antoine Coysevox (1640-1720), a sculptor employed by Louis XIV",N/A,18th century,"With one hand resting on a marble bust and the other clutching a chisel, Antoine Coysevox reveals his profession: he was a royal sculptor, employed at the court of Louis XIV. But he also happened to be the director of the French Academy from 1702 to 1705. The French Academy of Painting and Sculpture was a learned society that set the standards for, monitored, and critiqued visual art. Fran?ois Jouvenet painted this portrait a year before Coysevox became director and, in fact, presented this picture and another as his diploma paintings for acceptance into the same institution. Jouvenet eventually established himself as a portraitist of considerable reputation.",Portrait of Antoine Coysevox,"French, 1664?1749"
Artist: Aureliano Milani, Paintings,Europe,Italy,The John R. Van Derlip Fund,c. 1725,Paintings,"54 1/4 x 38 in. (137.8 x 96.52 cm) (canvas)
68 3/4 x 52 1/2 x 3 1/2 in. (174.63 x 133.35 x 8.89 cm) (outer frame)
45 x 39 1/2 in. (114.3 x 100.33 cm) (sight)",N/A,Oil on canvas,Italian (Bologna),N/A,Public Domain,Not on View,N/A,N/A,18th century,N/A,"Model for 'Madonna del Fuoco, Protectress of Forli'","Italian (Bologna), 1675 - 1747"
Artist: Albert Bierstadt, Paintings,North America,United States,The Putnam Dana McMillan Fund,1858,Paintings,"22 x 36 in. (55.88 x 91.44 cm) (canvas)
21 1/2 x 35 5/8 in. (54.61 x 90.49 cm) (sight)
39 5/8 x 25 1/2 x 2 in. (100.65 x 64.77 x 5.08 cm) (outer frame)",N/A,Oil on canvas,American,N/A,Public Domain,Not on View,Landscape.,LL: ABierstadt 1858,19th century,N/A,Ruins of Paestum,"American, 1830 - 1902"
Artist: Henry H. Cross, Paintings,North America,United States,The Julia B. Bigelow Fund,1863,Paintings,31 x 26 in. (78.74 x 66.04 cm) (canvas),N/A,Oil on canvas,American,N/A,Public Domain,G301,Portrait,N/A,19th century,Recent conservation of this picture was made possible by a generous contribution from Mary Williams through the Adopt-a-Painting program.,Little Crow,"American, 1837?1918"
Artist: George Stanfield Walters, Paintings,Europe,England,The Collector's Fund Group,1862,Paintings,17 3/4 x 24 3/4 in. (45.09 x 62.87 cm) (canvas),Monogram and Date,Oil on canvas,British,N/A,Public Domain,Not on View,N/A,LRC in red: [GsW 1862] (\'Gs\' intertwined),19th century,N/A,"Wallow Crag, Cumberland","British, 1838 - 1934"
N/A, Sculpture,North America,United States,The John R. Van Derlip Fund,19th century,Art of Africa and the Americas,12 1/2 x 38 x 9 1/8 in. (31.8 x 96.5 x 23.2 cm),N/A,Polychromed wood,N/A,N/A,Public Domain,Not on View,"whale, painted wood, American Indian, possibly a recent work, Tlingit XIXc NO PHOTO ON CAT. CARD cat. card dims L 36'",N/A,19th century,N/A,Whale Figure,N/A
Painter: Douglas Binder, Drawings,Europe,England,The Ethel Morrison Van Derlip Fund,1970,Prints and Drawings,15 1/4 x 20 1/2 in. (38.74 x 52.07 cm) (image),N/A,Gouache,British,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,Coming and Going,"British, born 1941"
Artist: Tosa Mitsusada, Paintings,Asia,Japan,"Gift of Frederick Van Dusen Rogers, Nancy Rogers Pierson, and Mary Rogers Savage",late 18th century,Japanese and Korean Art,23 7/16 x 68 1/2 in. (59.5 x 174 cm),N/A,"Ink, color, and gold on paper",Japanese,N/A,Public Domain,Not on View,N/A,[unread],18th century,"The Tale of Genji, by the 11th-century court lady Murasaki Shikiku, is a novel about the romantic prince Genji, his love affairs, and the opulent lifestyle of Heian period aristocrats. The story, with its emphasis on Japanese aesthetic sensibilities, remained popular through succeeding generations and inspired the creation of countless works of art. These screens illustrate two episodes from the novel's twenty-fourth chapter titled <I>Ko_cho</I> or ""Butterflies"",in which Genji organizes springtime festivities in the garden of Murasaki, his favorite consort. One screen shows the noblewomen with their multilayered robes enjoying the garden from exotic pleasure boats with phoenix and dragonhead prows. The other screen pictures the following day, when Murasaki dresses several of her page girls and boys as birds and butterflies and has them dance for the empress. 
",Butterflies Dancing Episode,"Japanese, 1738 - 1806"
Artist: Unknown, Paintings,Asia,China,Gift of Mr. Joseph R. Wright,c. 1700,"Chinese, South and Southeast Asian Art","75 7/8 x 39 in. (192.72 x 99.06 cm) (image)
112 1/2 x 62 3/4 in. (285.75 x 159.39 cm) (mount)","Signature, Seal",Ink and colors on silk,N/A,N/A,Public Domain,G203,N/A,LL: false signature and seal,17th-18th century,"This painting bears an apocryphal signature of Yan Wengui, a highly regarded academic landscape painter of the Five Dynasties period (907-960). While few authentic works by Yan survive, his reputation was largely based on the towering ink landscapes that had come into prominence during his time.
The present painting is an excellent example of the popularity during late Ming and early Qing for large, carefully rendered color landscapes that evoked the monumental mountainous landscapes of the earlier Five Dynasties and Northern Song period (ca. 10th-13th centuries). The wealthy Ming and Qing merchant class created a demand for large-scale, carefully delineated, decorative scrolls such as this for use in their luxurious estates. Paintings such as these, carefully rendered by skilled, professional artists for an affluent audience were substantially different from the smaller ink landscapes produced by the scholar-amateurs for the literati class with their emphasis on personal brushwork and literary content.","Landscape in the style of Yan Wengui, c. 1700",N/A
Artist: Unknown Japanese, Paintings,Asia,Japan,Gift of funds from the Maslon Foundation,second half 12th century,Japanese and Korean Art,10 in. (25.4 cm),N/A,Gold and silver on indigo paper,N/A,N/A,Public Domain,Not on View,Frontispiece of illuminated Daihannya-kyo.,N/A,12th century,"The painted gold and silver frontispiece of this elegant sutra illustrates the Buddha flanked by two bodhisattvas delivering a sermon in a simplified landscape setting. Decorated scrolls of this type were commissioned in great numbers as a means of accruing religious merit. Based on stylistic similarities, this scroll may have been one of 5,400 commissioned by the retired emperor Toba in the mid-twelfth century. A number of these scrolls remain at Jingoji temple north of Kyoto. The text, beautifully written in standard block script, describes the ways bodhisattvas should conduct themselves in order to achieve enlightenment.",Sutra of Accumulated Treasures (Daih?shaku-ky?): Chapter 45,N/A
N/A, Sculpture,Europe,France,Gift of Mr. and Mrs. Atherton Bean,early 18th century,"Decorative Arts, Textiles and Sculpture",13 3/4 in. (34.93 cm),N/A,"Bronze, brown-black varnish",N/A,N/A,Public Domain,G310,N/A,N/A,18th century,"Daedalus, the architect, inventor, and craftsman of Greek legend, is shown attaching wings to the back of his son, Icarus, and pointing upward and away. According to the most influential version of the ancient myth as it is recounted by Ovid, Daedalus fabricated wings of feathers and wax in order to escape by air from the island of Crete, where he and his son were held captive by King Minos. Disregarding his father?s advice, Icarus flew too close to the sun. The wax melted and he fell into the sea and drowned. The myth of Daedalus and Icarus has remained a popular parable about heeding one?s elders, the dangers of excessive ambition and pride, and the benefits and risks of technological progress.","Daedalus Attaching the Wings to his Son, Icarus",N/A
Painter: Douglas Binder, Drawings,Europe,England,The Ethel Morrison Van Derlip Fund,1970,Prints and Drawings,15 1/4 x 20 3/8 in. (38.74 x 51.75 cm) (image),N/A,Gouache,British,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,A View from the Mediterranean,"British, born 1941"
Artist: Charles-Fran?ois Daubigny, Paintings,Europe,France,Gift of Mr. M. R. Schweitzer,1869,Paintings,44 1/2 x 65 in. (113.0 x 165.1 cm),Signature and Date,Oil on canvas,French,N/A,Public Domain,Not on View,N/A,LL in black: [Daubigny 1869],19th century,"Daubigny was an important early supporter of the Impressionists, and his own work suggests the influence of the younger artists. This painting is notable for its gestural brushwork and touches of color, as in the vibrant, bright green hills in the distance. Daubigny's paintings were often criticized for being ""impressions"" rather than fully realized works.",A Pond in the Morvan,"French, 1817?1878"
Artist: Paul Delvaux, Paintings,Europe,Belgium,Gift of Mr. and Mrs. Patrick Butler,1945,Paintings,"35 3/4 x 31 x 2 1/2 in. (90.81 x 78.74 x 6.35 cm) (outer frame)
28 3/8 x 23 1/2 in. (72.07 x 59.69 cm) (canvas)",Signature and Date,Oil on masonite,Belgian,N/A,Copyright Protected,G376,N/A,In black: [P. DELVAUX. 3-45],20th century,"Although Delvaux never participated formally in the Surrealist movement, he is visually involved with the ""painters of the dream"", particularly with Magritte and de Chirico. His smooth, detached style is closely akin to that of the Surrealists. Delvaux never employed the strange juxtaposition or incongruities found in Magritte's work, nor the jumbled perspective of de Chirico. But, his paintings do present a mysterious obtuse reality. Woman is the center of his dream world, silent, waiting, and always with sexual undertones.",Woman with a Mirror,"Belgian, 1897 - 1994"
N/A, Metalwork,Europe,Turkey,The Katherine Kittredge McMillan Memorial Fund,c. 3000 BCE (?),"Decorative Arts, Textiles and Sculpture",3 7/8 x 2 1/4 in. (9.84 x 5.72 cm),N/A,Electrum (alloy of silver and gold),N/A,N/A,Public Domain,Not on View,abstract form consisting of a circular bosy and heavy flared neck; perforted at the navel and a eye level,N/A,31st-30th century BCE,N/A,Goddess,N/A
N/A, Sculpture,Africa,Nigeria,Gift of funds from Russell Cowles,late 19th-early 20th century,Art of Africa and the Americas,11 x 6 3/8 in. (27.9 x 16.2 cm),N/A,"Wood, skin, red and black polychrome",N/A,N/A,Public Domain,Not on View,"Head crest Mask; Ejagham people of the Cross River area, possibly Keaka group; covered with skin",N/A,19th-20th century,N/A,Dance Headdress,N/A
Artist: Gerrit van Honthorst, Paintings,Europe,Netherlands,The Putnam Dana McMillan Fund,c. 1623,Paintings,"43 1/2 x 57 in. (110.49 x 144.78 cm) (canvas)
54 x 68 1/2 in. (137.16 x 173.99 cm) (outer frame)",N/A,Oil on canvas,Dutch,N/A,Public Domain,G313,N/A,N/A,17th century,"


This painting illustrates a New Testament passage. A young maidservant accused the apostle Peter, in the yellow cloak, of knowing Jesus Christ. Fearing for his own safety, Peter denied the acquaintance. While working in Italy, the Dutch artist Gerrit van Honthorst earned the nickname ""Gerard of the Night"" for his dramatically lit night scenes. Like the Italian artist Caravaggio, whom he admired, Honthorst constructed psychologically intense paintings through the use of strong contrasts of light and shadow, close-ups of large plebeian figures, and expressive hand gestures.

This frame is an exceptionally fine and sophisticated example of the reverse profile cassetta style. Its dynamic profile belongs to the late 16th and 17th centuries and is a Baroque version of the earlier Classical form. The finely-carved spiralling leaf garland on the top edge projects the same energetic of motion as the painting.",The Denial of St. Peter,"Dutch, 1592 - 1656"
Artist: Henri Matisse, Sculpture,Europe,France,Gift of the Dayton Hudson Corporation,modeled 1901,"Decorative Arts, Textiles and Sculpture",23 1/2 x 9 x 7 1/2 in. (59.7 x 22.9 x 19.1 cm),N/A,Bronze,French,N/A,Copyright Protected,G377,cast no. 6; figure,N/A,20th century,"This was the first important sculpture that Matisse completed and had cast in bronze. Dating from early in his search for an original style, it shows the artist investigating the expressive and decorative configuring of body and limbs in space. The arms blend into the torso, leaving the basic contours uninterrupted, while the bulging hip accentuates the figure?s sinuous pose.",Madeleine I,"French, 1869?1954"
Artist: Henri Matisse, Sculpture,Europe,France,Gift of the Dayton Hudson Corporation,c. 1923?1925,"Decorative Arts, Textiles and Sculpture",30 3/8 x 25 9/16 x 13 7/8 in. (77.2 x 64.9 x 35.2 cm),Signature,Bronze,French,N/A,Copyright Protected,G377,cast no. 2/10; figure,N/A,20th century,"This is an audacious work of sculpture. Matisse took a casual pose often seen in paintings?a reclining nude with raised arms?and swung the figure out into space, twisted into a 3-D posture seemingly without a central axis. The erect arms, neck, and head provide balance for the unsupported torso.
",Large Seated Nude,"French, 1869?1954"
